dish;succ;treat;sum;fail
p1;2;sand;10;8
p2;1;sand;10;9
p3;1;sand;10;9
p4;1;sand;10;9
p5;2;sand;10;8
p6;2;sand;10;8
p7;0;sand;10;10
p8;0;sand;10;10
p9;0;sand;10;10
p10;0;sand;10;10
o1;0;topsoil;10;10
o2;0;topsoil;10;10
o3;0;topsoil;10;10
o4;0;topsoil;10;10
o5;0;topsoil;10;10
o6;0;topsoil;10;10
o7;0;topsoil;10;10
o8;0;topsoil;10;10
o9;0;topsoil;10;10
o10;0;topsoil;10;10
co1;1;control;10;9
co2;3;control;10;7
co3;6;control;10;4
co4;3;control;10;7
co5;6;control;10;4
co6;7;control;10;3
co7;7;control;10;3
co8;5;control;10;5
co9;5;control;10;5
co10;6;control;10;4
j1;1;clay;10;9
j2;1;clay;10;9
j3;0;clay;10;10
j4;0;clay;10;10
j5;1;clay;10;9
j6;4;clay;10;6
j7;3;clay;10;7
j8;0;clay;10;10
j9;2;clay;10;8
j10;0;clay;10;10
r1;0;peat;10;10
r2;0;peat;10;10
r3;0;peat;10;10
r4;2;peat;10;8
r5;1;peat;10;9
r6;2;peat;10;8
r7;0;peat;10;10
r8;0;peat;10;10
r9;0;peat;10;10
r10;0;peat;10;10
pb1;2;sand_mud;10;8
pb2;1;sand_mud;10;9
pb3;3;sand_mud;10;7
pb4;1;sand_mud;10;9
pb5;2;sand_mud;10;8
pb6;0;sand_mud;10;10
pb7;2;sand_mud;10;8
pb8;0;sand_mud;10;10
pb9;1;sand_mud;10;9
pb10;2;sand_mud;10;8
b1;2;mud;10;8
b2;2;mud;10;8
b3;5;mud;10;5
b4;0;mud;10;10
b5;3;mud;10;7
b6;2;mud;10;8
b7;3;mud;10;7
b8;2;mud;10;8
b9;0;mud;10;10
b10;5;mud;10;5
pr1;1;sand_peat;10;9
pr2;1;sand_peat;10;9
pr3;0;sand_peat;10;10
pr4;0;sand_peat;10;10
pr5;1;sand_peat;10;9
pr6;0;sand_peat;10;10
pr7;0;sand_peat;10;10
pr8;0;sand_peat;10;10
pr9;0;sand_peat;10;10
pr10;0;sand_peat;10;10
pj1;0;sand_clay;10;10
pj2;0;sand_clay;10;10
pj3;3;sand_clay;10;7
pj4;1;sand_clay;10;9
pj5;0;sand_clay;10;10
pj6;0;sand_clay;10;10
pj7;0;sand_clay;10;10
pj8;0;sand_clay;10;10
pj9;0;sand_clay;10;10
pj10;0;sand_clay;10;10
